Study_ID,Module,DOI,Design,Corpus,Finding,Key_Limit,Applicability,Translation
SKENE-2022,"C,D",10.1111/cdev.13730,"Revisão sistemática/meta-análise","39 estudos; brincar guiado","Ganhos em matemática inicial, formas e task switching em comparações específicas","Quase todos os estudos em alto risco; pouco follow-up",Parcial-direta,"Testar por objetivo, não como método universal"
REYNAUD-2017,E,10.1111/jsr.12636,"Revisão sistemática","26 estudos pré-escolares","Sono melhor associado a melhores desfechos, geralmente com efeitos pequenos","Heterogeneidade, medidas subjetivas, confundimento","Direta como modulador","Registrar sono com granularidade"
HOYNIAK-2020,E,10.1111/jcpp.13225,"Coorte longitudinal","119 crianças; actigrafia","Variabilidade e horário tardio associados a desfechos posteriores","Associação não prova causalidade",Parcial,"Usar como variável de estado/contexto"
NIETO-2022,"C,E",10.1111/sjop.12801,Transversal,"158 pré-escolares","Duração noturna relacionada a inibição e memória de trabalho","Sono por relato parental",Parcial,"Não inferir capacidade sem controlar estado"
WALLER-2021,E,10.1111/cch.12869,Transversal,"1700 pré-escolares","Mais tela associada a pior sono e cansaço","Confundimento e autorrelato",Parcial,"Separar horário, conteúdo e co-uso"
GARAGOZZO-2021,"C,E",10.1002/ppul.25420,Revisão,"SDB e cognição pediátrica","Resultados variam por domínio e gravidade","Critérios e medidas heterogêneos",Clínica-indireta,"SDB é hipótese clínica, não explicação automática"
MATHIS-2015,F,10.1111/sode.12112,Multimétodo,"210 pré-escolares","Estresse e diretividade crítica associados a pior regulação/atenção","Transversal; baixa renda",Parcial,"Examinar contexto sem culpa causal"
ORDWAY-2011,F,10.1002/nur.20463,"Revisão integrativa","43 artigos","Múltiplos informantes e modelos de discrepância são necessários","Foco em sintomas depressivos maternos",Metodológica,"Divergência vira dado, não erro"
PRINZ-2021,F,10.1111/jcpp.13426,"RCT não inferioridade","334 famílias","Observação, cuidador e professor podem convergir em alguns resultados","População clínica",Indireta,"Triangular métodos e contextos"
DELOSREYES-2015,F,10.1037/a0038498,Meta-análise,"341 estudos","Concordância baixa/moderada pode refletir contexto","Foco em saúde mental",Metodológica,"Não fazer média cega"
SILVA-2022,C,10.1002/cpp.2733,"Revisão sistemática","49 estudos de EF pré-escolar","Muitas tarefas específicas; falta medida global","Heterogeneidade",Metodológica,"Não criar escore executivo global"
ALHENDAWI-2025,F,10.1007/s44192-025-00152-2,"Revisão sistemática","88 estudos observacionais","Observação contextual é flexível e amplamente usada","Sistemas não padronizados variam","Direta para desenho","Padronizar antecedente, comportamento e consequência"
MCLEAN-2024,F,10.1007/s10567-024-00487-y,"Revisão sistemática","11 estudos; 10 medidas","Relato de educador pode acrescentar identificação","Evidência limitada",Metodológica,"Adicionar escola quando possível"
CUSITER-2025,B,10.1111/cdev.14252,"Meta-análise de RCTs","29 RCTs; 9333 crianças","Efeitos pequenos em linguagem e código","População de risco; efeito médio",Parcial,"Separar significado e código"
PIASTA-2012,B,10.1111/j.1467-8624.2012.01754.x,"RCT/longitudinal","Leitura com print referencing","Atenção ao impresso pode produzir efeitos específicos","Não equivale a leitura convencional",Direta,"Metas específicas de impresso"
XIAO-2025,B,10.1111/bjet.13615,"Leitura dialógica","Mediação e turnos","Turnos e engajamento afetivo importam","Contexto dependente",Parcial,"Medir turnos, não só acertos"
BIERMAN-2013,A,10.1111/cdev.12117,Intervenção,"Fidelidade e dose","Implementação influencia resultados","Pacote multicomponente","Direta para implementação","Registrar dose recebida"
KNIGHT-2019,A,10.1002/pam.22145,"Avaliação de intervenção","Coaching parental","Espera, seguir liderança, expansão e scaffolding","Ingredientes dentro de pacote","Direta por mecanismo","Microcomportamentos observáveis"
TOPLAK-2013,C,10.1111/jcpp.12001,"Revisão metodológica","Tarefas versus ratings","Medidas captam aspectos diferentes","Não é intervenção",Metodológica,"Resultados paralelos por fonte"
SMYTH-2026,F,10.1111/fcre.70047,Qualitativo,"Transições entre casas","Transições têm dimensões logísticas e relacionais","Não estima causalidade","Direta para perguntas","Registrar pessoas, rituais e reações"
