import_rank,pmid,metadata_retrieval_status,metadata_source,title,vernacular_title,abstract,all_authors,author_count,collective_authors,journal,journal_abbreviation,publication_date,publication_year,volume,issue,pages_or_elocation,doi,pmcid,other_article_ids,language,publication_types,mesh_terms,keywords,country,citation_status,has_abstract,explicit_pfild_title,explicit_ppf_title,explicit_pfild_anywhere,explicit_ppf_anywhere,non_ipf_context_flag,ipf_only_suspected_flag,machine_recall_priority,pubmed_url
1,42542704,complete,NCBI PubMed EFetch XML,Progressive Fibrosing Lung Disease Treated With Nintedanib in a Patient With Long-Standing Autoimmune Pulmonary Alveolar Proteinosis: A Case Report.,,"BACKGROUND: Autoimmune pulmonary alveolar proteinosis (APAP) is caused by impaired surfactant clearance due to neutralizing autoantibodies against granulocyte-macrophage colony-stimulating factor. Although whole-lung lavage and inhaled granulocyte-macrophage colony-stimulating factor therapy are established treatment options, pulmonary fibrosis is increasingly recognized as a clinically relevant complication in a subset of patients with APAP. However, the clinical behavior of APAP-associated fibrosing lung disease and the role of antifibrotic therapy remain unclear.
CASE PRESENTATION: A 54-year-old man with a 15-year history of APAP was referred to our institution. High-resolution computed tomography images obtained before referral showed slow progression of reticulation and traction bronchiectasis, suggesting fibrotic progression rather than recurrence of APAP. At presentation, forced vital capacity (FVC) was 3.31 L (80.0% predicted), and diffusion capacity for carbon monoxide (DLCO) was preserved. During 6 months of observation, FVC declined to 3.03 L (73.5% predicted), accompanied by worsening dry cough and exertional dyspnea. Nintedanib was initiated for a progressive fibrosing phenotype in the context of APAP. Thereafter, FVC remained relatively stable for 2 years, whereas DLCO declined during follow-up.
CONCLUSIONS: APAP-associated fibrosing lung disease may present with a progressive fibrosing phenotype, but its diagnosis and management remain challenging. This case highlights the importance of distinguishing fibrotic progression from recurrence of intra-alveolar proteinosis.","Zaizen, Yoshiaki; Nikaido, Yasuhiko; Jimi, Takeo; Kawano, Tetsuya; Ichiki, Katsuyuki; Tsuda, Toru; Hoshino, Tomoaki",7,,Case reports in pulmonology,Case Rep Pulmonol,2026-07-31,2026,2026,,8073947,10.1155/crpu/8073947,PMC13428075,pii:CRPU8073947,eng,Journal Article,,antifibrotic agent; autoimmune pulmonary alveolar proteinosis; interstitial lung disease; nintedanib; progressive pulmonary fibrosis,United States,PubMed-not-MEDLINE,True,False,False,False,False,False,False,low,https://pubmed.ncbi.nlm.nih.gov/42542704/
2,42538919,complete,NCBI PubMed EFetch XML,Radiomics of the Airway (RadAr): Multi-Scale Airway Phenotyping for Disease Characterization on Routine CT Imaging.,,"PURPOSE: Airway remodeling is a convergent feature across respiratory diseases, yet current CT tools provide limited characterization of the airway tree. We present Radiomics of the Airway (RadAr), an automated framework for multi-scale airway phenotyping from routine chest CT.
METHODS: RadAr extracts multi-scale, interpretable airway measurements capturing luminal dimensions, tapering, architectural distortion, and global morphology and provides an interactive web portal for analysis and visualization. It was evaluated across four settings: 63-week mortality prediction in fibrotic interstitial lung disease (fILD; N=147), COVID-19 severity prediction (N=1164), structure-function association in progressive pulmonary fibrosis (PPF; N=9) and structure-inflammation markers in pediatric cystic fibrosis (CF; N=11). Unsupervised clustering identified airway phenotypes across the fILD and COVID-19 cohorts.
RESULTS: In fILD, lower-lobe architectural distortion was associated with mortality (balanced accuracy 0.654). In COVID-19, severe disease was independently associated with luminal dilation (AUC 0.719, odds ratio 2.32, p=0.017). In PPF, airway phenotypes correlated with forced vital capacity (ρ=0.83), mid-expiratory flow (ρ=0.87), and ¹²⁹Xe MRI alveolar gas exchange impairment (ρ=0.70). In pediatric CF, reduced tapering and increased cylindricity were associated with prior exacerbations and bronchoalveolar lavage neutrophilia (ρ=-0.64 to -0.78). Five phenotypes were identified from extensive, tapered airway trees to sparse, dilated, thick-walled, tortuous trees, with increasing COVID-19 severity and fILD mortality across this spectrum.
CONCLUSIONS: RadAr identified interpretable, disease-specific airway signatures associated with function and outcomes across restrictive, obstructive, and mixed lung diseases in adult and pediatric settings. It provides a scalable framework that may support diagnosis, risk stratification, and longitudinal monitoring across pulmonary diseases.","Mutha, Pushkar; Lee, Juyoung; Silva, George Lucas; Dreihuys, Bastiaan; Healy, Zachary; Mummy, David; Kaul, Bhavika; Ram, Sundaresh; Tirouvanziam, Rabindra; Guglani, Lokesh; Madabhushi, Anant",11,,medRxiv : the preprint server for health sciences,medRxiv,2026-07-21,2026,,,2026.07.19.26358441,10.64898/2026.07.19.26358441,PMC13419480,pii:2026.07.19.26358441,eng,Journal Article; Preprint,,,United States,PubMed-not-MEDLINE,True,False,False,False,True,False,False,medium,https://pubmed.ncbi.nlm.nih.gov/42538919/
3,42533657,complete,NCBI PubMed EFetch XML,[A fatal case of acute occupational organic fluoride inhalation poisoning].,"有机氟化合物为含氟碳键的一类化工原料，主要分为氟烷烃、氟烯烃两类，短时间高浓度吸入可致急性肺损伤、急性呼吸窘迫综合征（acute respiratory distress syndrome, ARDS）及快速进展性肺纤维化，临床病死率居高不下。总结急性职业性混合有机氟气体吸入中毒的临床特征、救治经验及预后影响因素，为同类病例诊疗提供参考。回顾性分析1例于密闭无通风仓库内吸入六氟丙烯、四氟乙烯混合气体的急性中毒患者的职业接触史、临床诊疗过程及转归资料。患者毒物接触后出现刺激性干咳、进行性呼吸困难，外院对症支持治疗后病情持续进展，于暴露后9 d转入我院；入院时氧合指数123.1 mmHg，胸部CT提示双肺弥漫性网格状、蜂窝状密度增高影，确诊为急性重度有机氟中毒、中度ARDS；予大剂量糖皮质激素冲击、有创机械通气、抗感染、肺泡灌洗及静脉-静脉体外膜肺氧合（VV-ECMO）等综合救治，病情仍进行性恶化，最终因严重肺纤维化合并自发性气胸致呼吸循环衰竭死亡。急性有机氟中毒预后差，需强调早期识别、足量足疗程糖皮质激素应用、及时启动ECMO支持的救治策略，同时应强化作业场所职业防护宣教，从源头降低发病风险。.","Organic fluoride compounds are a class of chemical raw materials containing fluorocarbon bonds, primarily classified into fluorinated alkanes and fluorinated olefins. Short-term high-concentration inhalation can lead to acute lung injury, acute respiratory distress syndrome (ARDS), and rapidly progressive pulmonary fibrosis, with persistently high clinical mortality rates. This study summarizes the clinical characteristics, treatment experience, and prognostic factors of acute occupational inhalation poisoning by mixed organic fluoride gases to provide reference for similar case management. A retrospective analysis was conducted on the occupational exposure history, clinical diagnosis and treatment process, and outcome data of a patient who inhaled a mixture of hexafluoropropylene and tetrafluoroethylene in a sealed, non-ventilated warehouse. The patient developed irritative dry cough and progressive dyspnea after toxin exposure. Despite symptomatic supportive treatment at another hospital, the condition continued to deteriorate, leading to admission to our hospital on 9 days post-exposure. Upon admission, the oxygenation index was 123.1 mmHg, and chest CT revealed diffuse reticular and honeycomb-like density enhancement in both lungs, confirming a diagnosis of acute severe organic fluoride poisoning with moderate ARDS. Comprehensive interventions including high-dose glucocorticoid pulse therapy, invasive mechanical ventilation, anti-infection measures, alveolar lavage, and veno-venous extracorporeal membrane oxygenation (VV-ECMO) were administered, yet the patient's condition continued to worsen. The patient ultimately died from respiratory and circulatory failure due to severe pulmonary fibrosis complicated by spontaneous pneumothorax. Acute organic fluoride poisoning has a poor prognosis, necessitating emphasis on early identification, adequate and prolonged corticosteroid therapy, and prompt initiation of ECMO support. Concurrently, occupational safety and health education in workplaces should be strengthened to reduce disease risk at the source.","Liu, H Y; Shang, R K; Liu, Y R; Tian, Q X; Jian, X D",5,,Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,2026-07-20,2026,44,7,586-588,10.3760/cma.j.cn121094-20250207-00048,,,chi,Journal Article; Case Reports; English Abstract,Humans; Occupational Exposure; Fatal Outcome; Fluoride Poisoning; Male; Inhalation Exposure; Respiratory Distress Syndrome,"Acute poisoning; Acute respiratory distress syndrome, acute; Extracorporeal membrane oxygenation; Occupational exposure; Organic fluorine compounds; Pulmonary fibrosis",China,MEDLINE,True,False,False,False,True,False,False,medium,https://pubmed.ncbi.nlm.nih.gov/42533657/
4,42532543,complete,NCBI PubMed EFetch XML,Effect of nerandomilast on survival in patients with pulmonary fibrosis.,,"BACKGROUND: In the placebo-controlled FIBRONEER-IPF and FIBRONEER-ILD trials in patients with idiopathic pulmonary fibrosis (IPF) and progressive pulmonary fibrosis (PPF), the key secondary endpoint was not met but numerical benefits of nerandomilast on time to death (a secondary endpoint) were observed. We further investigated the robustness of the effect of nerandomilast on survival.
METHODS: In both trials, the primary analysis of time to death was based on all deaths except those after lung transplant, using a Cox proportional hazards model. We performed sensitivity analyses of the impact of covariates, tipping point analyses, and supplementary analyses of deaths during and shortly after treatment and the impact of intercurrent events. We assessed time to death by exposure to nerandomilast (trough concentration at steady state).
RESULTS: Based on pooled data from both trials, over the whole follow-up period (mean:16.7 months), the risk of death versus placebo was reduced by 33% (hazard ratio: 0.67 [95% CI: 0.49, 0.90]; p=0.009) with nerandomilast 9 mg bid and by 43% (hazard ratio: 0.57 [95% CI: 0.41, 0.78]; p<0.001) with nerandomilast 18 mg bid. Sensitivity analyses and supplementary analyses were consistent with the primary analysis of time to death. Tipping point analyses demonstrated a very low likelihood that the benefit of nerandomilast on mortality was due to missing data. Exposure-response analyses indicated that a higher plasma exposure to nerandomilast was associated with a lower risk of death.
CONCLUSION: These analyses support the use of nerandomilast 18 mg bid to improve survival in patients with IPF and PPF.","Oldham, Justin M; Assassi, Shervin; Azuma, Arata; Cottin, Vincent; Hoffmann-Vold, Anna-Maria; Kreuter, Michael; Maher, Toby M; Richeldi, Luca; Valenzuela, Claudia; Wijsenbeek, Marlies S; Choy, Steve; Gu, Hui; Weimann, Gerrit; Ritter, Ivana; Stowasser, Susanne; Zoz, Donald F; Martinez, Fernando J",17,,The European respiratory journal,Eur Respir J,2026-07-30,2026,,,2600338,10.1183/13993003.00338-2026,,pii:13993003.00338-2026,eng,Journal Article,,,England,Publisher,True,False,False,False,True,False,False,medium,https://pubmed.ncbi.nlm.nih.gov/42532543/
5,42521038,complete,NCBI PubMed EFetch XML,"Rheumatoid arthritis-associated interstitial lung disease: Pathogenesis, risk stratification, and management.",,"Rheumatoid arthritis-associated interstitial lung disease (RA-ILD) is one of the most clinically significant extra-articular manifestations of rheumatoid arthritis and an important cause of morbidity and premature mortality. Its clinical spectrum ranges from asymptomatic radiographic abnormalities to rapidly progressive fibrosing lung disease with respiratory failure. Current evidence indicates that RA-ILD is biologically heterogeneous and arises from the interplay of mucosal autoimmunity, genetic susceptibility, epithelial injury, dysregulated innate and adaptive immune responses, and aberrant tissue repair. This heterogeneity has important implications for diagnosis, prognosis, and treatment selection. High-resolution computed tomography remains central to disease detection and radiologic phenotyping, while pulmonary function testing, serologic profiling, circulating biomarkers, and multidisciplinary discussion improve risk stratification and longitudinal assessment. Management should integrate the relative contribution of inflammation and fibrosis with current conditional guideline recommendations, and may include short-term glucocorticoids, conventional immunosuppressants, biologic or targeted synthetic disease-modifying antirheumatic drugs, antifibrotic therapy for documented progressive pulmonary fibrosis, and evaluation for pulmonary hypertension-associated ILD in advanced disease. However, clinical decision-making remains limited by the scarcity of randomized RA-ILD-specific trials, the lack of standardized definitions of disease progression, and uncertainty regarding optimal treatment sequencing. This review summarizes current understanding of the pathogenesis, risk factors, diagnostic evaluation, treatment strategies, and prognostic determinants of RA-ILD, with emphasis on phenotype-oriented management and practical issues relevant to respiratory and multidisciplinary care.","Gao, Rong; Liu, Siyan; Song, Lixian",3,,Respiratory medicine,Respir Med,2026-07-28,2026,,,109066,10.1016/j.rmed.2026.109066,,pii:S0954-6111(26)00434-8,eng,Journal Article; Review,,high-resolution computed tomography; interstitial lung disease; management; pulmonary fibrosis; rheumatoid arthritis; risk stratification,England,Publisher,True,False,False,False,True,False,False,medium,https://pubmed.ncbi.nlm.nih.gov/42521038/
6,42517480,complete,NCBI PubMed EFetch XML,Rural and urban environmental exposures and the risk of progressive pulmonary fibrosis.,,"BACKGROUND: Non-occupational exposures are increasingly recognized as a driver of poor outcomes in patients with interstitial lung disease (ILD), including urban and rural populations. However, both populations also experience barriers to care and higher social vulnerability that may be associated with higher risk for progression. The impact of agricultural antigen exposure and concomitant social vulnerability has not been well characterized.
OBJECTIVES: To evaluate the risk of progression in both urban and agricultural antigen-exposed communities in patients with ILD.
DESIGN: Retrospective cohort study.
METHODS: We identified individuals with a diagnosis of ILD in a large health system. Proximity to agricultural antigens was mapped utilizing satellite-derived crop data. Residence in a community impacted by structural disadvantage was estimated using the social vulnerability index (SVI). We used geographically weighted regression analysis to estimate the risk of progression, defined as a greater than 10% relative decrease in forced vital capacity within the 24 months from first documented diagnosis.
RESULTS: Residence in a high SVI community was associated with an increased risk of disease progression by FVC criteria in both agriculturally exposed and urban communities. The greatest risk of progression was seen in those residing in high SVI, rural communities (HR 1.19, CI: 1.09-1.31).
CONCLUSION: Within a large cohort of geographically diverse patients with ILD, residential social vulnerability increased the risk of ILD progression with effects similar in individuals with agricultural antigen exposure and urban exposures.","MacMurdo, Maeve G; Wang, Yifan; Morgan, Amanda; Wang, Xiaofeng; Culver, Daniel A",5,,Therapeutic advances in respiratory disease,Ther Adv Respir Dis,2026-07-28,2026,20,,17534666261471968,10.1177/17534666261471968,PMC13420062,,eng,"Journal Article; Research Support, N.I.H., Extramural",Humans; Disease Progression; Retrospective Studies; Environmental Exposure / adverse effects; Female; Risk Factors; Male; Pulmonary Fibrosis / physiopathology / epidemiology / diagnosis / etiology; Urban Health; Aged; Rural Health; Middle Aged; Risk Assessment; Social Vulnerability; Vital Capacity,agrochemicals; pulmonary fibrosis; rural health; social vulnerability,England,MEDLINE,True,False,True,False,True,False,False,high,https://pubmed.ncbi.nlm.nih.gov/42517480/
7,42516906,complete,NCBI PubMed EFetch XML,Pleuroparenchymal fibroelastosis-like findings identify an idiopathic pulmonary fibrosis subgroup with shortened telomeres and poor prognosis.,,"BACKGROUND: Idiopathic pulmonary fibrosis (IPF) is a progressive fibrosing interstitial lung disease (ILD) with poor prognosis. Radiological pleuroparenchymal fibroelastosis (PPFE)-like findings, characterised by upper-lobe subpleural fibrosis, have been associated with worse outcome in IPF. While short leukocyte telomere length (LTL) is a recognised prognostic factor, its relationship with PPFE-like findings remains unclear.
METHODS: We conducted a secondary analysis of an ongoing ILD cohort. IPF patients who underwent LTL measurement by quantitative PCR were classified into those with PPFE-like findings on high-resolution computed tomography (IPF/PPFE group) and those without such findings (IPF/usual interstitial pneumonia (UIP) group). Clinical characteristics, pulmonary function, telomere length and outcomes were compared. Age-adjusted LTL was evaluated using healthy controls. Prognostic factors were analysed using Cox regression.
RESULTS: Among 179 IPF patients, 29 (16%) were assigned to the IPF/PPFE group. Compared to the IPF/UIP group (n=150), the IPF/PPFE group had lower body mass index and forced vital capacity, and significantly shorter LTL (p=0.002), with more patients below the 10th percentile of healthy controls (37.9% versus 12.0%). The IPF/PPFE group showed greater respiratory functional decline and higher mortality (65.5% versus 25.3%, p<0.001). In survival analysis, both PPFE-like findings and shortened LTL predicted worse outcomes; however, only PPFE-like findings remained independently associated with mortality in multivariate analysis.
CONCLUSIONS: IPF patients with PPFE-like findings constitute a distinct high-risk phenotype with shorter telomeres, accelerated progression, and poor prognosis. These findings highlight the clinical importance of recognising PPFE-like changes and telomere biology in IPF for risk stratification and emphasise the need for close monitoring and early intervention.","Otoshi, Ryota; Kitamura, Hideya; Niwa, Takashi; Murohashi, Kota; Oda, Tsuneyuki; Baba, Tomohisa; Hagiwara, Eri; Iwasawa, Tae; Takemura, Tamiko; Okudela, Koji; Nojima, Yosui; Nakamura, Yoshinori; Mizuguchi, Kenji; Natsume-Kitatani, Yayoi; Ogura, Takashi",15,,ERJ open research,ERJ Open Res,2026-07-27,2026,12,4,01619-2025,10.1183/23120541.01619-2025,PMC13402969,pii:01619-2025,eng,Journal Article,,,England,PubMed-not-MEDLINE,True,False,False,True,False,False,False,medium,https://pubmed.ncbi.nlm.nih.gov/42516906/
8,42516800,complete,NCBI PubMed EFetch XML,Real-world immunosuppressive treatment patterns and disease progression in systemic sclerosis-associated interstitial lung disease.,,"OBJECTIVE: Interstitial lung disease (ILD) is a frequent and prognostically important manifestation of systemic sclerosis (SSc), with a substantial proportion of patients developing progressive pulmonary fibrosis (PPF) despite immunosuppressive treatment. The objective of the study was to compare real-world lung function trajectories and the occurrence of progressive PPF among patients with SSc-ILD receiving commonly used immunosuppressive therapies.
METHODS: We conducted a retrospective single-center cohort study of adult patients with SSc-ILD receiving immunosuppressive therapy, assessing longitudinal changes in pulmonary function and PPF according to international guideline-based criteria.
RESULTS: Among 80 patients with SSc-ILD, mycophenolate mofetil (MMF) was the most frequently used immunosuppressive agent across both first-line and subsequent treatment lines. Despite its extensive use, MMF was associated with relatively low rates of progressive PPF (18.2% in first-line and 25% in second/third-line use) and largely stable forced vital capacity over time, with only modest decline in diffusing capacity for carbon monoxide. Cyclophosphamide (CYC) showed transient improvements in lung function at 1 year, followed by stabilization. In contrast, first-line azathioprine (AZA) use was associated with the highest PPF proportion (55.6%).
CONCLUSION: In this real-world SSc-ILD cohort, MMF emerged as the most frequently used backbone therapy after the scleroderma lung study II, with generally stable lung function trajectories observed during follow-up. Higher proportions of progressive PPF were observed among AZA-treated patients, whereas CYC was mainly used as an induction therapy in selected cases. Rituximab, administered alone or in combination with MMF, was more frequently used in patients with progressive or treatment-refractory disease and was associated with relatively low progression proportions in this cohort. These findings reflect treatment patterns and clinical trajectories observed in routine clinical practice rather than comparative treatment efficacy.","Vasi, Ibrahim; Karaduman, Ibrahim; Duran, Rahime; Cakir, Ibrahim Yahya; Eseroglu, Esma; Karakaya, Burak; Koksoy, Busra; Bolek, Ertugrul Cagri; Kucuk, Hamit; Goker, Berna; Yilmaz, Nilgun Demirci; Ozturk, Mehmet Akif; Erden, Abdulsamet",13,,Northern clinics of Istanbul,North Clin Istanb,2026-06-25,2026,13,3,263-273,10.14744/nci.2026.03453,PMC13402492,pii:NCI-13-263,eng,Journal Article,,Interstitial lung disease; progressive pulmonary fibrosis; systemic sclerosis; treatment,Turkey,PubMed-not-MEDLINE,True,False,False,False,True,False,False,medium,https://pubmed.ncbi.nlm.nih.gov/42516800/
9,42516722,complete,NCBI PubMed EFetch XML,Evolving landscape of imaging-based evaluation in systemic autoimmune rheumatic disease-associated interstitial lung disease: from visual assessment to quantitative artificial intelligence-assisted evaluation.,,"Interstitial lung disease (ILD) is a major driver of morbidity and mortality across systemic autoimmune rheumatic diseases (SARDs), with systemic sclerosis-associated ILD (SSc-ILD) providing the most extensive evidence base. In this context, progressive pulmonary fibrosis has emerged as a central framework, as it is associated with increased mortality and facilitates the identification of candidates for antifibrotic therapy. Nevertheless, operational thresholds for chest high-resolution computed tomography (HRCT)-defined progression remain ill defined: current guidelines rely on visual HRCT interpretation and lack standardized, reproducible assessment protocols. Because the magnitude and topography of disease evolution can guide therapeutic decisions, quantitative evaluation of imaging features is pivotal. In this review, we delineate the evolution of imaging assessment from qualitative reads to quantitative phenotyping. We organize traditional densitometric and textural metrics (e.g., percentage high-attenuation areas, quantitative lung fibrosis, CALIPER [Computer-Aided Lung Informatics for Pathology Evaluation and Ratings]) alongside hybrid/data-driven approaches (e.g., data-driven textural analysis, quantitative interstitial abnormality) and recent deep-learning tools (e.g., SOFIA [Systemic Objective Fibrotic Imaging Analysis Algorithm], eLung, Qureight, SATORI [Segmentation and Annotation Tool for Radiomics and Deep Learning], AirQuant). Given the rapid pace of innovation in artificial-intelligence-based quantitative CT, we present a curated set of analytic approaches and offer a concise framework for understanding technological progress and evaluating its relevance to SARD-ILD applications.","Chang, Sung Hae; McDermott, Gregory C; Lee, Yeon-Ah; Kang, Eun Ha; Park, Yong-Beom; Choe, Jung-Yoon; Lee, Eun Young; Sparks, Jeffrey A",8,,Journal of rheumatic diseases,J Rheum Dis,2026-02-20,2026,33,2,73-93,10.4078/jrd.2025.0161,PMC13086278,pii:jrd-33-2-73,eng,Journal Article; Review,,Artificial intelligence; Computer-assisted image analysis; Connective tissue diseases; Interstitial lung disease; Rheumatic diseases,Korea (South),PubMed-not-MEDLINE,True,False,False,False,True,True,False,medium,https://pubmed.ncbi.nlm.nih.gov/42516722/
10,42513486,complete,NCBI PubMed EFetch XML,Beyond Diffusion Capacity: Continuous Exercise Oximetry Reveals Phenotype-Related Cardiopulmonary Signals in Idiopathic Pulmonary Fibrosis and Progressive Pulmonary Fibrosis-A eurILDreg Pilot Study.,,"Background: Idiopathic pulmonary fibrosis (IPF) and progressive pulmonary fibrosis (PPF) are defined and monitored without definite exercise-based criterion, despite exertional desaturation being among the earliest functional signs of disease and an established independent predictor of mortality in IPF. The 6 min walk test (6MWT) provides robust prognostic information in IPF, yet whether it can kinetically distinguish IPF from PPF under sustained submaximal loading has not been systematically examined. We hypothesised that second-by-second oximetry during the 6MWT and the 1 min (min) sit-to-stand test (1STST) would expose phenotype-specific kinetic signatures invisible to static endpoints, and that test modality would matter. Methods: Fifty-one patients with IPF, 12 with PPF, and 100 with non-IPF/non-PPF ILD (reference cohort) from the European ILD Registry (eurILDreg) participated in this pilot study and completed both tests with continuous 1 Hz SpO2 and pulse-rate recording. Phenotype-specific desaturation and recovery slopes were derived from random-effects panel regression models. Multivariable linear regression tested whether IPF and PPF phenotypes carried kinetic and static-endpoint signatures independent of DLCO, age, sex, and BMI. Results: Despite substantially lower DLCO in fibrosing phenotypes (IPF 45 ± 17%, PPF 38 ± 11%, reference 55 ± 19%; p < 0.001), conventional exercise performance metrics did not differ significantly between groups (6MWD p = 0.099; 1STST repetitions p = 0.351). The 6MWT produced statistically indistinguishable per-second desaturation slopes in IPF and PPF (both ≈ -0.016%/s versus -0.011%/s in the reference), whereas the 1STST exposed a clear phenotype gradient (PPF -0.044%/s, IPF -0.027%/s, reference -0.016%/s; a 2.75-fold spread). PPF additionally showed a blunted chronotropic response during the 6MWT (PR slope +0.014 vs. +0.032 and +0.033 bpm/s in IPF and reference). Likelihood-ratio tests confirmed significant phenotype effects on seven of eight time-resolved trajectories (all p < 0.001). IPF was independently associated with greater cumulative oxygenation deficit during the 1STST (SpO2 AUC β = +669, p = 0.022), indicating excess dynamic burden beyond what diffusion capacity predicts. Conclusions: In this pilot analysis, continuous high-resolution oximetry identified two phenotype-related signals that were robust to the principal confounders. IPF was independently associated with a greater cumulative oxygenation impairment during the 1STST after DLCO adjustment, and PPF showed a blunted chronotropic response during sustained walking that, being pulse-rate based, was unaffected by supplemental oxygen and was not attributable to pulmonary hypertension. A phenotype gradient in per-second desaturation measurements during the 1STST was also observed but should be interpreted as hypothesis-generating, as the small PPF subgroup (n = 12), its greater disease severity, and supplemental oxygen use in half of its patients preclude firm attribution to phenotype. Taken as exploratory, these observations support the prospective evaluation of kinetic exercise parameters as candidate monitoring components for PPF.","Tello, Silke; Windhorst, Anita C; Hamadi, Nadia; Guenther, Andreas; Krauss, Ekaterina",5,,Journal of clinical medicine,J Clin Med,2026-07-16,2026,15,14,5572,10.3390/jcm15145572,PMC13412803,pii:jcm15145572,eng,Journal Article,,1 min sit-to-stand test; 6 min walk test; digital oximetry; eurILDreg; idiopathic pulmonary fibrosis; interstitial lung disease; progressive pulmonary fibrosis; pulse rate,Switzerland,PubMed-not-MEDLINE,True,False,True,False,True,True,False,high,https://pubmed.ncbi.nlm.nih.gov/42513486/
